##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	00050101.aligned-bwa.sorted-samtools.merged.rh.dedupped.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1106	120-124	0.06707471092413897
1106	125-129	0.10368865163686536
1106	130-134	0.041581476753378865
1106	135-139	0.10815282640593438
1106	140-144	0.15170805953012945
1106	145-149	0.17700098128695885
1106	150-151	0.1650092205657927
1107	1	-0.06668092284476046
1107	2	-0.020420391286869233
1107	3	-0.07381730904948824
1107	4	-0.07581145205369921
1107	5	-0.0720858311897814
1107	6	-0.03664998156987309
1107	7	-0.017756867150453104
1107	8	-0.010419729430054758
1107	9	-0.02814455632152857
1107	10-14	-0.014574843227819656
1107	15-19	-0.011232910521037809
1107	20-24	-0.027214003249817154
1107	25-29	-0.029582898107882727
1107	30-34	-0.030376609413757194
1107	35-39	-0.003864724995608526
1107	40-44	-0.0195181182756059
1107	45-49	-0.02061491464019838
1107	50-54	-0.0110094242552492
1107	55-59	-0.019703780833900453
1107	60-64	-0.024111973497717543
1107	65-69	-0.03763058817005316
1107	70-74	-0.014926928861733302
1107	75-79	-0.02933959822959764
1107	80-84	0.03554774843203745
1107	85-89	4.932772819259412E-4
1107	90-94	0.021894049290928308
1107	95-99	-0.015170015474431864
1107	100-104	0.022741780199112327
1107	105-109	0.037121896916239905
1107	110-114	0.011816586967860587
1107	115-119	0.054069545384713535
1107	120-124	0.09664929057357341
1107	125-129	0.08228549112902783
1107	130-134	0.06261784166410678
1107	135-139	0.14625157570002045
1107	140-144	0.20406181372809584
1107	145-149	0.2034509768831967
1107	150-151	0.2343296076565764
1108	1	-0.11886274287471821
1108	2	-0.05652622492953441
1108	3	-0.04147958938882823
1108	4	-0.04521261987656544
1108	5	-0.041286494681919805
1108	6	-0.0315036398852655
1108	7	-0.014111827802373966
1108	8	-0.020254400736654077
1108	9	-0.0010400843098423707
1108	10-14	-0.023074213161159207
1108	15-19	-0.00831666565468936
1108	20-24	-0.013619506292648964
1108	25-29	-0.01355002624652002
1108	30-34	0.008355021199790258
1108	35-39	0.007694124831452598
1108	40-44	-0.020548993812141703
1108	45-49	0.002179106382527607
1108	50-54	0.01010191067219779
1108	55-59	-0.012260027763367987
1108	60-64	-0.007485091122269694
1108	65-69	-0.0080744364615839
1108	70-74	-0.01930130918522366
1108	75-79	0.0014919666207902083
1108	80-84	0.040834202126774244
1108	85-89	0.0025613650287468204
1108	90-94	0.017995325197667
1108	95-99	0.026250945126797376
1108	100-104	0.047190242856338216
1108	105-109	0.07799000318804161
1108	110-114	0.0633763861848351
1108	115-119	0.05161039564562486
1108	120-124	0.09031476853607501
1108	125-129	0.11744736568247305
1108	130-134	0.09837641799084906
1108	135-139	0.1640055109281917
1108	140-144	0.20915397535124214
1108	145-149	0.20811284226714122
1108	150-151	0.23466952801336305
1109	1	-0.1022994483762858
1109	2	-0.04095819963221459
1109	3	-0.04158662955284598
1109	4	-0.048225226521580566
1109	5	-0.034802017910784855
1109	6	-0.03489368144117577
1109	7	-0.009033183583085247
1109	8	-0.0016777557333327309
1109	9	-0.01311546635823646
1109	10-14	-0.007752760108679979
1109	15-19	0.0015230301406319313
1109	20-24	-0.019179070777489926
1109	25-29	-0.020142425207254178
1109	30-34	-0.008292307138198396
1109	35-39	0.0066138656129624
1109	40-44	-0.024198299176987348
1109	45-49	-0.01790522115149429
1109	50-54	0.007758808430601505
1109	55-59	-8.410539910244097E-4
1109	60-64	-0.003261816497683867
1109	65-69	-0.010567898348114113
1109	70-74	-0.0024169103093356625
1109	75-79	0.02083817279726219
1109	80-84	0.029023401328565512
1109	85-89	-0.007150082353199139
1109	90-94	0.03357529098355627
1109	95-99	0.029971186058091348
1109	100-104	0.04337477110637877
1109	105-109	0.0585505916539617
1109	110-114	0.05777759638643687
1109	115-119	0.06544960144557166
1109	120-124	0.11915071581515946
1109	125-129	0.13786376890531926
1109	130-134	0.1207749541355767
1109	135-139	0.17798193060200873
1109	140-144	0.24927223138907095
1109	145-149	0.23985973916352776
1109	150-151	0.24712203796717347
1110	1	-0.06608036925023697
1110	2	-0.07792728020002215
1110	3	-0.06673138186818761
1110	4	-0.04320318960923686
1110	5	-0.042269609322225676
1110	6	-0.032923460614554756
1110	7	-0.013211815681295036
1110	8	-0.018090763278223676
1110	9	-0.04565870711942921
1110	10-14	-0.020838825400041117
1110	15-19	-0.032023364134673216
1110	20-24	-0.028523668915461542
1110	25-29	-0.032203250931971183
1110	30-34	-0.014509696137714911
1110	35-39	0.0016733308273870762
1110	40-44	-0.018180270438016066
1110	45-49	-0.026271537544431567
1110	50-54	-0.006654856120675845
1110	55-59	-0.008042234408762283
1110	60-64	-0.014302486480687548
1110	65-69	-0.00948442566728147
1110	70-74	-0.041161243993975916
1110	75-79	-0.0064004586183941115
1110	80-84	0.02119918718007341
1110	85-89	-0.01114541656345125
1110	90-94	0.01903231014519946
1110	95-99	0.0062577455200312215
1110	100-104	0.010474228055478818
1110	105-109	0.036517174688107445
1110	110-114	0.030809067180811667
1110	115-119	0.08566922850564396
1110	120-124	0.10089994978267924
1110	125-129	0.12183803782417613
1110	130-134	0.06488635326531522
1110	135-139	0.16321485959390003
1110	140-144	0.1941766011530035
1110	145-149	0.19850548550902403
1110	150-151	0.1872040888341644
1111	1	-0.039504593767269114
1111	2	-0.03924328716698966
1111	3	-0.060495941063841485
1111	4	-0.028698335391680985
1111	5	-0.06606231201655532
1111	6	-0.02707901618789066
1111	7	0.01496030247704283
