CHROM	FWD_CT	REV_CT	CT
KN150558.1	68	1	69
KN150559.1	21	31	52
KN150560.1	114	0	114
KN150561.1	13	1075	1088
KN150562.1	48	6	54
KN150563.1	7	69	76
KN150564.1	9	773	782
KN150565.1	235	19	254
KN150566.1	2	2	4
KN150567.1	3	161	164
KN150568.1	2732	12	2744
KN150569.1	14	88	102
KN150570.1	25	17	42
KN150571.1	1	6	7
KN150572.1	63	2	65
KN150573.1	5	292	297
KN150574.1	3	23	26
KN150576.1	3	19	22
KN150577.1	1	77	78
KN150578.1	2600	795	3395
KN150579.1	7	175	182
KN150580.1	22	8	30
KN150581.1	11	2	13
KN150582.1	2	2	4
KN150583.1	0	7	7
KN150584.1	25	5	30
KN150586.1	2	0	2
KN150587.1	1	0	1
KN150588.1	13	5	18
KN150589.1	2	1	3
KN150590.1	0	299	299
KN150591.1	0	10	10
KN150592.1	218	7	225
KN150593.1	11	7	18
KN150594.1	1	134	135
KN150595.1	2	5	7
KN150596.1	649	9	658
KN150597.1	156	2	158
KN150598.1	69	19	88
KN150599.1	3	3	6
KN150600.1	618	30	648
KN150601.1	2	0	2
KN150602.1	477	12	489
KN150603.1	231	17	248
KN150604.1	63	673	736
KN150605.1	46	22	68
KN150606.1	21	637	658
KN150608.1	41	21	62
KN150609.1	14	26	40
KN150610.1	6	1	7
KN150612.1	7	0	7
KN150613.1	118	5	123
KN150614.1	51	0	51
KN150615.1	0	1	1
KN150616.1	359	33	392
KN150617.1	93	34	127
KN150618.1	9	15	24
KN150619.1	3	37	40
KN150620.1	1	2	3
KN150621.1	0	83	83
KN150622.1	1	13	14
KN150623.1	1	11	12
KN150624.1	582	519	1101
KN150625.1	12	13	25
KN150626.1	0	6	6
KN150627.1	2	1444	1446
KN150628.1	24	10	34
KN150629.1	15	0	15
KN150630.1	1028	22	1050
KN150631.1	120	79	199
KN150632.1	1	2	3
KN150633.1	269	3	272
KN150634.1	595	0	595
KN150635.1	166	3	169
KN150636.1	0	2	2
KN150637.1	115	107	222
KN150638.1	1	78	79
KN150639.1	233	8	241
KN150640.1	60	4	64
KN150641.1	9	0	9
KN150642.1	25	312	337
KN150643.1	23	176	199
KN150644.1	14	45	59
KN150645.1	306	5	311
KN150646.1	288	43	331
KN150647.1	5	29	34
KN150648.1	2	3	5
KN150649.1	7	1	8
KN150650.1	3	1	4
KN150651.1	27	6	33
KN150652.1	271	85	356
KN150653.1	11	36	47
KN150654.1	3	1	4
KN150655.1	1	0	1
KN150656.1	13	25	38
KN150657.1	0	111	111
KN150658.1	51	11	62
KN150659.1	3	2	5
KN150660.1	3	3	6
KN150661.1	5	12	17
KN150662.1	2	0	2
KN150663.1	20	2691	2711
KN150665.1	2	0	2
KN150666.1	9	21	30
KN150667.1	16	10	26
KN150668.1	23	133	156
KN150669.1	2	17	19
KN150670.1	35	1622	1657
KN150671.1	57	14	71
KN150672.1	183	55	238
KN150673.1	9	69	78
KN150674.1	292	231	523
KN150675.1	13	661	674
KN150676.1	12	2003	2015
KN150677.1	31	54	85
KN150678.1	13	42	55
KN150679.1	165	4	169
KN150680.1	37	0	37
KN150681.1	2971	133	3104
KN150682.1	9	1	10
KN150683.1	34	2	36
KN150684.1	39	64	103
KN150685.1	5	0	5
KN150686.1	1	1	2
KN150687.1	138	0	138
KN150688.1	1	11	12
KN150689.1	0	1	1
KN150690.1	19	32	51
KN150691.1	2412	92	2504
KN150692.1	6	123	129
KN150693.1	19	10	29
KN150694.1	2	0	2
KN150695.1	1	0	1
KN150696.1	78	8	86
KN150697.1	4	2	6
KN150698.1	211	1513	1724
KN150699.1	373	64	437
KN150700.1	4	18	22
KN150701.1	0	5	5
KN150702.1	1281	879	2160
KN150703.1	26	290	316
KN150705.1	16	1	17
KN150706.1	4	5	9
KN150707.1	2	1	3
KN150708.1	28	73	101
KN150709.1	150	61	211
KN150710.1	5	5	10
KN150711.1	7	2	9
KN150712.1	2	8	10
KN150713.1	40	22	62
MT	2183598	14553	2198151
