DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Example_101	Example_102	Example_103	Example_109	Example_110	Example_111	Example_117	Example_118	Example_119	Example_125	Example_126	Example_127	Example_133	Example_134	Example_135	Example_141	Example_142	Example_143	Example_201
92	4604	2704	2380	2429	2276	2933	3969	1498	3231	3064	1445	2530	3916	1642	1614	2370	2476	6923	11022
93	4706	2704	2593	2482	2276	2989	3969	1515	3327	3162	1445	2602	3975	1741	1614	2370	2618	6923	12475
94	4706	2717	2622	2550	2336	3222	3991	1607	3447	3566	1501	2630	4005	1762	1936	2373	2706	6943	12680
95	5425	2722	2687	2563	2431	3280	4325	1687	3591	3566	1529	2666	4203	1762	1993	2637	2747	6968	14515
96	5910	2901	2701	2774	2517	3365	4334	1810	3832	3589	1728	2705	4788	1844	2095	2780	2787	6968	14524
97	5910	2933	2751	2774	2564	3401	4334	1826	4198	3816	1876	2914	5070	1844	2204	2796	3311	7242	14524
98	6170	3078	2752	3405	2564	3578	4433	1952	4570	3816	1895	3034	5092	1861	2204	2892	3311	7872	14741
99	6509	3171	2752	3610	2875	3760	4476	2016	4628	3865	1895	3034	5190	1965	2227	3136	3311	7887	16361
100	6509	3313	3066	3685	2883	4070	4511	2100	4783	3865	1948	3217	5784	2187	2324	3288	3439	7887	16908
101	6509	3418	3066	3689	2926	4112	4916	2136	4935	3996	2163	3301	5784	2215	2359	3293	3439	8669	18222
102	6577	3811	3422	3881	3326	4112	4916	2152	5115	4045	2236	3321	6898	2242	2386	3293	3729	8792	18301
103	6758	3863	3490	4051	3582	4112	4944	2392	5115	4174	2283	3321	7330	2246	2444	3546	3980	9003	18803
104	6898	3863	3692	4060	3745	4172	4944	2511	5753	4521	2549	3703	7439	2274	2478	3636	4074	9446	21732
105	7390	3863	3813	4080	3897	4343	4996	2511	5950	4521	3020	3707	7803	2647	2687	3756	4224	9610	24250
106	7522	3889	3891	4220	3931	4343	6109	2511	5976	4521	3020	3876	7803	2972	2749	3756	4256	10419	25111
107	7664	4332	4892	4298	4108	4359	6309	2519	5976	4611	3082	3919	7864	3036	2857	4072	4256	12393	25670
108	8234	4501	5156	4298	4357	4397	6371	2549	6185	4611	3159	4160	7864	3057	2940	4182	4256	12599	25674
109	8234	4965	5598	4299	4445	4585	6455	2766	6323	4644	3159	4323	8145	3087	2948	4205	4700	12599	30037
110	8377	5670	5675	4300	4658	4585	6565	2766	6323	4809	3159	4442	8474	3396	3030	4260	5052	12982	31611
111	8628	5711	5813	4682	4754	4665	6947	2766	6456	4818	3388	4442	8474	3425	3136	4723	5148	13820	32106
112	8824	5958	5813	4718	4898	4729	6947	2927	6462	4819	3431	4442	8949	3631	3136	4816	5339	15025	32421
113	9319	6003	5879	4762	5368	4938	7210	3125	6513	4989	3550	4442	9070	3802	3141	4939	5940	15350	32432
114	9373	6290	6448	5024	6340	5006	7332	3139	6631	5051	3550	5240	9196	3804	3245	5520	6039	16226	35363
115	9474	6290	6566	5207	6499	5190	7425	3764	6817	5109	3550	5341	9403	3919	3274	5671	6423	19075	35363
116	9846	6339	6566	5342	7530	5190	7670	4026	7138	5137	3823	5378	9403	4084	3358	5773	6423	20616	35363
117	10278	6348	6691	5515	7550	5528	7670	4272	7185	5653	3863	5810	9403	4573	3481	5813	6522	21804	35363
118	10768	6348	7026	5622	8270	5602	7841	4375	7185	5653	3933	6339	9489	4573	3507	5998	6725	27283	35958
119	10907	6695	7031	5726	8470	5695	8248	4746	7877	6110	3933	6542	9949	4827	3755	6183	6725	27796	37031
120	11186	7174	7062	5726	8564	5695	8523	4858	7877	6238	4131	6575	11390	4906	3858	6481	6725	28955	37569
121	12543	7371	7770	5977	8785	5887	8794	5158	8117	8056	5004	6843	11390	4906	5522	6481	6750	28955	39317
122	12597	7517	7938	6054	9040	5887	9898	5239	8117	8146	5531	7722	11634	4961	5522	6718	6901	28955	39317
123	13207	7536	8117	6059	9040	5887	10211	5276	8117	8146	5531	7769	12385	5069	5739	7394	7792	28955	39317
124	15740	8120	8127	6225	9070	6203	10340	5473	8178	8146	5588	7893	12385	5149	5771	7664	8110	31221	39755
125	15740	8473	8378	6548	9203	6332	10869	5568	8289	8260	6092	7903	12385	5962	6711	7664	8305	31636	40509
126	16378	8572	8466	6724	9203	6591	10869	5697	8701	8653	6092	7913	13145	6224	6819	7697	8392	33530	41454
127	16570	8994	8578	7088	10103	6591	10869	5697	9326	8653	6098	8350	13461	6224	6902	7697	8921	34642	43451
128	16570	9134	9302	7088	10170	6591	10869	5697	9326	10488	6530	8974	13840	6526	7404	7838	9281	37896	46849
129	16570	9199	9341	7088	10657	6811	11611	5993	9408	10998	6563	9106	14545	6567	7404	7916	9281	38662	48110
130	17009	9199	10973	7180	10944	6811	12179	6010	9408	11157	6638	9487	14545	6709	7404	7916	9312	39634	49561
131	17009	9310	10973	7340	11208	6830	12179	6535	9591	11157	6638	9858	14589	6749	7455	8134	10194	39634	52470
132	17254	9669	11055	7364	11208	7368	12179	6535	9839	11293	6677	10389	14589	6792	7455	8230	10997	40396	52939
